1536 5 -119.619821459 250.647207867 0.02 0.406 1.0 0.173913043478 1 299 11
1537 12 -149.29225934 309.99208363 0.005 0.208 nan 0.2 0 300 11
1538 32 -145.038639302 301.484843552 0.03 0.307 1.0 0.224080267559 1 299 11
1539 24 -112.622631341 236.652827632 0.005 0.307 nan 0.133333333333 0 300 11
1540 8 -147.530389036 306.468343021 0.005 0.208 nan 0.206666666667 0 300 11
1541 11 -138.824306687 289.056178324 0.125 0.703 0.673913043478 0.177165354331 46 254 11
1542 7 -144.881553637 301.170672224 0.005 0.208 nan 0.2 0 300 11
1543 7 -100.187783935 211.78313282 0.03 0.802 0.533333333333 0.129824561404 15 285 11
1544 13 -104.201743043 219.811051036 0.01 0.406 nan 0.126666666667 0 300 11
1545 25 -138.989356504 289.386277957 0.005 0.208 nan 0.186666666667 0 300 11
1546 12 -102.1255097 215.658584348 0.005 0.406 nan 0.13 0 300 11
1547 23 -207.369001485 426.145567919 0.01 0.01 nan 0.47 0 300 11
1549 27 -159.630110209 330.667785367 0.005 0.208 nan 0.22 0 300 11
1550 4 -137.137038643 285.681642234 0.015 0.307 1.0 0.190635451505 1 299 11
1553 11 -124.193583388 259.794731726 0.085 0.802 0.5625 0.179104477612 32 268 11
140 11 -85.3049255593 182.017416068 0.005 0.505 nan 0.103333333333 0 300 11
141 4 -125.469138989 262.345842928 0.02 0.406 1.0 0.177257525084 1 299 11
142 10 -95.4071207184 202.221806386 0.005 0.406 nan 0.113333333333 0 300 11
143 21 -179.054090068 369.515745085 0.05 0.208 0.571428571429 0.313993174061 7 293 11
144 16 -75.1707096515 161.748984252 0.005 0.505 nan 0.0833333333333 0 300 11
145 10 -106.345440651 224.098446252 0.005 0.307 nan 0.13 0 300 11
146 24 -147.782156275 306.971877499 0.005 0.208 nan 0.2 0 300 11
147 11 -128.420548717 268.248662382 0.06 0.604 0.529411764706 0.190812720848 17 283 11
148 3 -150.58779674 312.58315843 0.03 0.307 0.8 0.213559322034 5 295 11
149 5 -125.387409744 262.182384437 0.04 0.505 0.533333333333 0.178947368421 15 285 11
150 25 -160.578742305 332.565049558 0.015 0.208 nan 0.24 0 300 11
151 21 -144.071285044 299.550135037 0.005 0.208 nan 0.196666666667 0 300 11
152 9 -84.6467079228 180.700980795 0.005 0.505 nan 0.103333333333 0 300 11
153 15 -181.449731751 374.307028452 0.075 0.208 0.555555555556 0.315602836879 18 282 11
154 3 -118.862263291 249.132091532 0.04 0.604 0.5625 0.154929577465 16 284 11
155 0 -105.058216496 221.523997942 0.005 0.406 nan 0.13 0 300 11
157 8 -156.329458266 324.066481482 0.005 0.208 nan 0.216666666667 0 300 11
158 9 -87.1426239605 185.69281287 0.005 0.505 nan 0.1 0 300 11
159 15 -81.0236912378 173.454947425 0.005 0.505 nan 0.0933333333333 0 300 11
160 29 -75.1804816261 161.768528202 0.005 0.604 nan 0.0966666666667 0 300 11
161 4 -68.976241672 149.360048293 0.01 0.901 0.5 0.0838926174497 2 298 11
162 19 -169.435896583 350.279358116 0.035 0.208 nan 0.283333333333 0 300 11
163 3 -138.754840857 288.917246663 0.005 0.208 nan 0.186666666667 0 300 11
164 2 -123.790265725 258.988096398 0.02 0.406 1.0 0.170568561873 1 299 11
165 12 -138.59810902 288.60378299 0.07 0.505 0.625 0.195652173913 24 276 11
166 1 -107.356784403 226.121133756 0.06 0.802 0.458333333333 0.159420289855 24 276 11
168 37 -115.624195604 242.655956157 0.005 0.307 nan 0.15 0 300 11
170 12 -135.436414849 282.280394648 0.04 0.406 0.571428571429 0.188811188811 14 286 11
171 5 -100.965319113 213.338203176 0.02 0.505 nan 0.146666666667 0 300 11
172 9 -133.753528848 278.914622645 0.015 0.307 0.333333333333 0.181818181818 3 297 11
173 5 -89.99707027 191.401705489 0.01 0.505 0.333333333333 0.114478114478 3 297 11
174 1 -143.682343651 298.772252251 0.005 0.208 nan 0.196666666667 0 300 11
175 12 -79.0856945292 169.578954008 0.005 0.505 nan 0.09 0 300 11
176 21 -132.343405056 276.09437506 0.13 0.802 0.553191489362 0.193675889328 47 253 11
177 40 -207.812342411 427.03224977 0.14 0.01 0.5 0.5 16 284 11
178 8 -128.014247813 267.436060574 0.025 0.406 0.2 0.193220338983 5 295 11
179 4 -137.932191206 287.271947361 0.095 0.604 0.583333333333 0.213768115942 24 276 11
180 8 -119.483556821 250.374678592 0.09 0.802 0.655172413793 0.166051660517 29 271 11
181 4 -133.749739989 278.907044926 0.13 0.802 0.591836734694 0.187250996016 49 251 11
183 5 -122.983964259 257.375493467 0.005 0.307 nan 0.156666666667 0 300 11
184 3 -162.191442174 335.790449296 0.01 0.208 nan 0.233333333333 0 300 11
185 7 -96.1786740986 203.764913146 0.005 0.406 nan 0.116666666667 0 300 11
186 11 -105.805058383 223.017681715 0.005 0.406 nan 0.126666666667 0 300 11
187 8 -102.938069141 217.28370323 0.01 0.406 nan 0.133333333333 0 300 11
188 20 -144.1727674 299.753099749 0.005 0.208 nan 0.19 0 300 11
189 3 -121.78757068 254.982706309 0.08 0.802 0.487179487179 0.164750957854 39 261 11
190 32 -185.312172354 382.031909657 0.015 0.109 nan 0.32 0 300 11
192 7 -133.819119159 279.045803268 0.04 0.406 0.444444444444 0.20618556701 9 291 11
193 2 -144.983397373 301.374359695 0.02 0.307 1.0 0.204013377926 1 299 11
194 9 -53.4625796882 118.332724326 0.005 0.901 nan 0.0733333333333 0 300 11
195 9 -156.822368672 325.052302294 0.01 0.208 nan 0.23 0 300 11
196 0 -100.138712406 211.684989761 0.025 0.604 0.8 0.138983050847 5 295 11
197 23 -198.259907839 407.927380627 0.035 0.109 0.666666666667 0.367003367003 3 297 11
198 8 -63.8478794216 139.103323793 0.005 0.703 nan 0.0766666666667 0 300 11
199 11 -125.730102936 262.867770822 0.025 0.406 0.714285714286 0.167235494881 7 293 11
200 22 -105.594715025 222.596994999 0.005 0.307 nan 0.13 0 300 11
202 17 -141.947119595 295.301804139 0.105 0.604 0.434782608696 0.220472440945 46 254 11
203 7 -121.163101762 253.733768474 0.005 0.307 nan 0.153333333333 0 300 11
204 22 -124.334585597 260.076736144 0.005 0.307 nan 0.153333333333 0 300 11
