1536 5 -142.435504554 290.574791582 0.1434 1
1537 12 -155.288011907 316.27980629 0.1318 1
1538 32 -173.013517761 351.730817996 0.097 1
1539 24 -143.468840211 292.641462897 0.1434 1
1540 8 -162.713746957 331.131276389 0.1144 1
1541 11 -167.692601881 341.088986236 0.1086 1
1542 7 -150.431758078 306.567298631 0.126 1
1543 7 -128.984904899 263.673592273 0.1608 1
1544 13 -131.64025814 268.984298755 0.1608 1
1545 25 -164.347178859 334.398140192 0.1144 1
1546 12 -132.292196786 270.288176047 0.1434 1
1547 23 -206.450363487 418.60450945 0.0216 1
1549 27 -157.963830392 321.631443258 0.1202 1
1550 4 -163.316221474 332.336225423 0.1086 1
1553 11 -157.164859847 320.033502168 0.1144 1
140 11 -105.164062978 216.03190843 0.1782 1
141 4 -128.405942375 262.515667224 0.1666 1
142 10 -113.96254996 233.628882395 0.1608 1
143 21 -190.280020489 386.263823453 0.068 1
144 16 -103.690410918 213.08460431 0.1898 1
145 10 -140.973892193 287.65156686 0.1376 1
146 24 -153.929567635 313.562917745 0.1202 1
147 11 -162.98596177 331.675706015 0.1202 1
148 3 -165.001746957 335.707276389 0.1144 1
149 5 -142.678586867 291.06095621 0.1376 1
150 25 -162.230221474 330.164225423 0.1086 1
151 21 -156.185996044 318.075774563 0.1144 1
152 9 -111.407458495 228.518699464 0.1956 1
153 15 -188.068971778 381.841726031 0.0738 1
154 3 -153.09727433 311.898331134 0.1318 1
155 0 -127.020051655 259.743885785 0.155 1
157 8 -155.801770064 317.307322602 0.126 1
158 9 -103.522461593 212.748705661 0.1376 1
159 15 -107.103199022 219.910180519 0.1608 1
160 29 -96.0527537529 197.80928998 0.1956 1
161 4 -112.906861236 231.517504947 0.1608 1
162 19 -189.895964901 385.495712276 0.0622 1
163 3 -150.658902647 307.021587769 0.126 1
164 2 -142.156987374 290.017757223 0.1492 1
165 12 -151.340336356 308.384455186 0.126 1
166 1 -152.224536752 310.152855979 0.1318 1
168 37 -133.487819947 272.679422369 0.1434 1
170 12 -169.854223581 345.412229637 0.1028 1
171 5 -121.541567931 248.786918337 0.155 1
172 9 -153.633191786 312.970166047 0.126 1
173 5 -131.704836782 269.113456039 0.1376 1
174 1 -155.286711995 316.277206464 0.1144 1
175 12 -116.862117701 239.428017876 0.1782 1
176 21 -174.219655872 354.143094218 0.097 1
177 40 -207.628956606 420.961695688 0.01 1
178 8 -144.470501067 294.64478461 0.1434 1
179 4 -161.979599106 329.662980686 0.1144 1
180 8 -161.144221474 327.992225423 0.1086 1
181 4 -171.073517761 347.850817996 0.097 1
183 5 -123.243705353 252.19119318 0.1666 1
184 3 -163.4957524 332.695287275 0.1086 1
185 7 -112.347140101 230.398062676 0.1782 1
186 11 -119.876591996 245.456966467 0.1492 1
187 8 -132.864455952 271.432694379 0.155 1
188 20 -165.954683739 337.613149953 0.1028 1
189 3 -161.78396177 329.271706015 0.1202 1
190 32 -187.945848802 381.595480079 0.0738 1
192 7 -154.165589531 314.034961537 0.1202 1
193 2 -149.806721147 305.317224768 0.1318 1
194 9 -97.5516090401 200.807000555 0.1724 1
195 9 -165.08796477 335.879712015 0.1086 1
196 0 -134.381059626 274.465901727 0.1376 1
197 23 -194.905723467 395.515229409 0.0564 1
198 8 -102.68470292 211.073188315 0.1724 1
199 11 -147.788047112 301.279876698 0.126 1
200 22 -128.239557191 262.182896856 0.1666 1
202 17 -173.982419888 353.66862225 0.1028 1
203 7 -131.591478317 268.886739109 0.1492 1
204 22 -136.161857643 278.02749776 0.1434 1
206 32 -124.298585521 254.300953517 0.1724 1
207 6 -103.576702868 212.857188211 0.184 1
208 34 -145.870508413 297.444799302 0.1318 1
212 1 -140.432182841 286.568148157 0.1434 1
213 18 -209.628956606 424.961695688 0.01 1
215 8 -128.289350503 262.282483481 0.1434 1
216 1 -116.805260582 239.314303639 0.155 1
217 16 -152.870196302 311.444175078 0.1318 1
218 3 -148.061245991 301.826274457 0.1318 1
220 26 -101.733136997 209.170056469 0.1608 1
221 3 -150.251983569 306.207749612 0.1318 1
223 15 -114.62773306 234.959248595 0.1782 1
225 4 -147.251734106 300.207250687 0.126 1
226 22 -146.873179719 299.450141913 0.1202 1
227 39 -163.56932766 332.842437794 0.1086 1
228 12 -125.547208248 256.798198972 0.1724 1
229 16 -133.230921296 272.165625067 0.1318 1
230 8 -86.5512517007 178.806285876 0.213 1
231 40 -146.104833239 297.913448952 0.1434 1
232 7 -144.845624941 295.395032356 0.1376 1
234 8 -122.542687072 250.789156618 0.155 1
235 11 -149.379245991 304.462274457 0.1318 1
236 12 -192.320020489 390.343823453 0.068 1
237 3 -165.116421813 335.936626101 0.1028 1
238 25 -145.818135309 297.340053092 0.1376 1
240 3 -120.099969477 245.90372143 0.1608 1
241 4 -162.277896081 330.259574636 0.1202 1
242 7 -102.414745647 210.533273769 0.184 1
243 13 -158.42463748 322.553057435 0.126 1
244 28 -175.325393302 356.354569079 0.097 1
245 9 -160.835599106 327.374980686 0.1144 1
247 15 -152.491545739 310.686873952 0.1202 1
248 35 -184.378233921 374.460250318 0.0738 1
253 4 -119.086398743 243.87657996 0.184 1
256 10 -132.594093766 270.891970006 0.1434 1
